title,year,length,budget,rating,votes
"Devil's Advocate, The",1997,144,57000000,7,26904
Con Air,1997,115,75000000,6.3,26642
Air Force One,1997,124,85000000,6.3,26156
Gattaca,1997,101,36000000,7.6,26071
Alien: Resurrection,1997,116,70000000,6,24358
Liar Liar,1997,86,45000000,6.5,22969
"Full Monty, The",1997,91,3500000,7.2,22115
Scream 2,1997,120,24000000,5.9,21533
Grosse Pointe Blank,1997,107,15000000,7.4,20400
Donnie Brasco,1997,127,35000000,7.6,20029
Tomorrow Never Dies,1997,119,110000000,6.4,19397
Mononoke-hime,1997,134,NA,8.3,19350
My Best Friend's Wedding,1997,105,46000000,6.4,16648
Wag the Dog,1997,97,15000000,7,16434
Cube,1997,90,NA,7.4,16205
Lost Highway,1997,135,15000000,7.3,15936
I Know What You Did Last Summer,1997,99,17000000,5.3,15932
Event Horizon,1997,96,70000000,5.7,15510
Conspiracy Theory,1997,135,75000000,6.4,15470
Speed 2: Cruise Control,1997,121,110000000,3.3,13268
"Ice Storm, The",1997,112,18000000,7.5,13115
"Jackal, The",1997,124,60000000,5.7,12753
Cop Land,1997,116,15000000,6.7,12677
"Saint, The",1997,116,70000000,5.7,12591
Amistad,1997,152,40000000,7,10543
Anaconda,1997,89,45000000,4.1,10510
In & Out,1997,92,35000000,6.2,10352
U Turn,1997,125,19000000,6.5,10306
"Sweet Hereafter, The",1997,112,NA,7.9,9433
Seven Years in Tibet,1997,139,70000000,6.6,9426
Private Parts,1997,109,20000000,6.6,9289
Dante's Peak,1997,104,104000000,5.6,9203
G.I. Jane,1997,124,50000000,5.5,9116
Kiss the Girls,1997,111,27000000,6.4,9041
Bean,1997,90,22000000,5.4,9018
"Peacemaker, The",1997,124,50000000,5.9,8994
"Postman, The",1997,177,80000000,5.2,8773
Volcano,1997,104,90000000,5.2,8627
"Rainmaker, The",1997,135,40000000,6.8,8620
Saving Private Ryan,1998,170,70000000,8.3,100267
"Truman Show, The",1998,103,60000000,7.7,62434
American History X,1998,119,10000000,8.4,59677
"Big Lebowski, The",1998,117,15000000,8,50179
There's Something About Mary,1998,134,23000000,7.2,46343
Armageddon,1998,153,140000000,5.7,45330
Shakespeare in Love,1998,122,25000000,7.5,41999
"Lock, Stock and Two Smoking Barrels",1998,126,NA,7.9,34293
Lola rennt,1998,80,NA,8.2,32791
"Thin Red Line, The",1998,170,52000000,7.2,25637
Blade,1998,110,45000000,6.8,24372
Dark City,1998,100,27000000,7.6,23508
Enemy of the State,1998,131,90000000,7.1,23263
"Bug's Life, A",1998,96,45000000,7.4,23184
Godzilla,1998,133,125000000,4.4,22695
Deep Impact,1998,120,75000000,5.9,22684
Pleasantville,1998,124,40000000,7.5,22561
Rushmore,1998,93,10000000,7.7,22209
Ronin,1998,121,55000000,7,21982
Fear and Loathing in Las Vegas,1998,118,18500000,7.2,21484
You've Got Mail,1998,119,65000000,6.2,20053
"Wedding Singer, The",1998,95,NA,6.8,19487
Pi,1998,84,60000,7.5,19431
"Negotiator, The",1998,139,50000000,7.2,19100
Out of Sight,1998,123,48000000,7.3,18776
Rush Hour,1998,93,35000000,6.7,18336
"X Files, The",1998,121,66000000,6.7,18314
"Mask of Zorro, The",1998,136,65000000,6.8,18220
Lethal Weapon 4,1998,127,140000000,6.3,17758
Wild Things,1998,115,20000000,6.6,17672
Meet Joe Black,1998,178,90000000,6.6,16796
Antz,1998,83,60000000,7,16312
"Waterboy, The",1998,90,23000000,5.5,15539
"Simple Plan, A",1998,121,17000000,7.6,15398
City of Angels,1998,114,55000000,6.2,15333
Lost in Space,1998,130,80000000,4.7,15209
Elizabeth,1998,124,25000000,7.6,14733
Rounders,1998,121,12000000,7.2,13621
Star Trek: Insurrection,1998,103,58000000,6.3,13395
"Faculty, The",1998,104,15000000,6.1,13143
Sphere,1998,134,80000000,5.3,12990
Patch Adams,1998,115,50000000,6.1,12110
Snake Eyes,1998,98,73000000,5.7,12091
Festen,1998,105,1300000,8.2,11983
Sliding Doors,1998,99,NA,6.9,11954
Happiness,1998,134,3000000,7.7,11737
What Dreams May Come,1998,113,85000000,6.3,11706
"Avengers, The",1998,89,60000000,3.4,11499
Mulan,1998,88,70000000,7.2,11192
"Man in the Iron Mask, The",1998,132,35000000,6,11127
Six Days Seven Nights,1998,101,70000000,5.6,11112
U.S. Marshals,1998,131,60000000,6.1,10315
Ever After,1998,121,26000000,7,10250
Very Bad Things,1998,100,10000000,5.8,10001
"Perfect Murder, A",1998,108,NA,6.4,9728
"Siege, The",1998,116,70000000,5.9,9725
I Still Know What You Did Last Summer,1998,100,24000000,4,9524
Fallen,1998,123,NA,6.7,9367
"Prince of Egypt, The",1998,99,60000000,6.9,9212
Gods and Monsters,1998,105,3500000,7.6,9020
Central do Brasil,1998,108,2900000,7.9,8980
"Matrix, The",1999,136,63000000,8.5,143853
Fight Club,1999,139,63000000,8.5,112092
American Beauty,1999,121,15000000,8.5,109991
"Sixth Sense, The",1999,107,55000000,8.2,96987
Star Wars: Episode I - The Phantom Menace,1999,133,115000000,6.4,84488
"Green Mile, The",1999,188,60000000,8.1,60142
Being John Malkovich,1999,113,13000000,7.9,55079
Magnolia,1999,188,37000000,8,45992
Dogma,1999,130,10000000,7.3,43391
American Pie,1999,95,11000000,6.8,41126
Toy Story 2,1999,92,90000000,8.1,40941
"Blair Witch Project, The",1999,86,35000,6.1,39814
Sleepy Hollow,1999,105,65000000,7.4,38857
Eyes Wide Shut,1999,159,65000000,7,37868
Austin Powers: The Spy Who Shagged Me,1999,95,33000000,6.5,37019
"Mummy, The",1999,124,76000000,6.5,36216
South Park: Bigger Longer & Uncut,1999,81,21000000,7.6,33188
Three Kings,1999,114,48000000,7.3,31503
"Insider, The",1999,157,68000000,8,28780
Notting Hill,1999,124,42000000,7,27285
Office Space,1999,89,10000000,7.7,26134
"Talented Mr. Ripley, The",1999,139,40000000,7,25974
Cruel Intentions,1999,97,11000000,6.5,25634
Analyze This,1999,109,30000000,6.6,24521
"World Is Not Enough, The",1999,128,135000000,6.3,24205
Galaxy Quest,1999,102,45000000,7.2,22341
Go,1999,103,6500000,7.4,20663
Man on the Moon,1999,118,52000000,7.3,19826
Any Given Sunday,1999,156,62000000,6.4,19531
10 Things I Hate About You,1999,97,16000000,6.7,19095
Wild Wild West,1999,107,170000000,4,19078
"Cider House Rules, The",1999,126,24000000,7.5,18950
Entrapment,1999,113,66000000,6.1,18543
8MM,1999,123,40000000,5.9,18541
Big Daddy,1999,93,34200000,5.9,18258
Payback,1999,100,50000000,6.8,18252
End of Days,1999,121,83000000,5.3,18237
"Boondock Saints, The",1999,110,NA,7.7,17935
"Bone Collector, The",1999,118,48000000,6.2,17766
Deep Blue Sea,1999,105,78000000,5.5,17666
"Virgin Suicides, The",1999,90,6000000,7.2,17524
Election,1999,103,8500000,7.4,17521
"Thomas Crown Affair, The",1999,113,48000000,6.7,17220
Arlington Road,1999,117,21500000,7.1,17189
"Girl, Interrupted",1999,127,24000000,7,16362
"Ninth Gate, The",1999,133,38000000,6.4,16291
"Iron Giant, The",1999,86,48000000,7.9,15151
Bowfinger,1999,97,55000000,6.4,15000
eXistenZ,1999,97,NA,6.7,14742
"Straight Story, The",1999,112,10000000,8.1,14679
Boys Don't Cry,1999,118,2000000,7.6,14456
"Haunting, The",1999,112,80000000,4.6,14425
"13th Warrior, The",1999,102,85000000,6.1,14344
Stigmata,1999,103,32000000,6,14062
Bringing Out the Dead,1999,121,32000000,6.7,13989
Double Jeopardy,1999,105,40000000,5.9,13587
Ghost Dog: The Way of the Samurai,1999,116,NA,7.5,13542
Todo sobre mi madre,1999,101,NA,7.9,13497
Mystery Men,1999,121,68000000,5.8,13331
She's All That,1999,95,10000000,5.5,13070
October Sky,1999,108,NA,7.7,12847
Runaway Bride,1999,116,70000000,5.4,12624
"Hurricane, The",1999,145,38000000,7.3,12445
Stir of Echoes,1999,99,13000000,7,11433
"General's Daughter, The",1999,116,60000000,6.1,11128
Never Been Kissed,1999,107,NA,5.7,10767
Tarzan,1999,88,150000000,7.1,10672
"Messenger: The Story of Joan of Arc, The",1999,148,NA,6.2,10476
Edtv,1999,122,60000000,6.2,10085
Deuce Bigalow: Male Gigolo,1999,88,18000000,5.6,9897
House on Haunted Hill,1999,99,19000000,5.1,9694
Blast from the Past,1999,112,35000000,6.4,9483
Bicentennial Man,1999,132,100000000,6.2,8925
Gladiator,2000,155,103000000,8,92495
Memento,2000,113,5000000,8.7,90317
Wo hu cang long,2000,120,15000000,8.2,52198
Requiem for a Dream,2000,102,4500000,8.4,47845
X-Men,2000,104,75000000,7.3,45332
Snatch.,2000,102,10000000,7.9,44785
Traffic,2000,147,48000000,7.8,41268
Almost Famous,2000,162,60000000,8,38648
"O Brother, Where Art Thou?",2000,106,26000000,7.8,37961
Mission: Impossible II,2000,123,125000000,5.7,35958
Unbreakable,2000,106,75000000,7.1,35842
Cast Away,2000,143,90000000,7.3,34580
Meet the Parents,2000,108,55000000,7,30804
High Fidelity,2000,113,20000000,7.6,29704
"Patriot, The",2000,164,110000000,6.8,29665
Charlie's Angels,2000,94,92000000,5.8,25705
Gone in Sixty Seconds,2000,117,90000000,5.7,25400
Chicken Run,2000,84,42000000,7.4,25099
"Perfect Storm, The",2000,130,120000000,6.2,24946
Erin Brockovich,2000,130,51000000,7.3,24301
Scary Movie,2000,88,19000000,5.5,23293
American Psycho,2000,102,8000000,6.8,21639
"Me, Myself & Irene",2000,116,51000000,6,21305
What Lies Beneath,2000,130,90000000,6.6,20584
What Women Want,2000,127,65000000,6.4,20138
Chocolat,2000,121,NA,7.3,20031
Pitch Black,2000,112,23000000,6.7,18522
Ghost World,2000,111,7000000,7.8,17976
"Whole Nine Yards, The",2000,98,24000000,6.6,17678
Billy Elliot,2000,110,5000000,7.7,16725
Final Destination,2000,98,23000000,6.6,16504
Miss Congeniality,2000,109,45000000,6.2,16235
Hollow Man,2000,112,95000000,5.3,16168
"Cell, The",2000,109,33000000,6.1,16118
Road Trip,2000,94,15600000,6.3,15981
U-571,2000,116,62000000,6.5,15792
Dancer in the Dark,2000,140,NA,7.8,15686
Wonder Boys,2000,111,35000000,7.6,15668
Scream 3,2000,116,40000000,5.4,15403
Frequency,2000,118,31000000,7.4,15317
Amores perros,2000,153,2000000,8.2,15079
"Beach, The",2000,119,50000000,5.8,15020
Mission to Mars,2000,113,90000000,4.9,15018
Battlefield Earth: A Saga of the Year 3000,2000,119,73000000,2.4,14970
Remember the Titans,2000,113,30000000,7.4,14195
Shaft,2000,99,46000000,6,13742
Pay It Forward,2000,123,40000000,6.7,13531
Finding Forrester,2000,136,43000000,7.3,13439
"Dude, Where's My Car?",2000,83,13000000,4.6,13330
Coyote Ugly,2000,100,45000000,5.4,13221
How the Grinch Stole Christmas,2000,104,123000000,5.7,12680
"Gift, The",2000,111,10000000,6.8,12440
Shanghai Noon,2000,110,55000000,6.7,12258
Batoru rowaiaru,2000,122,4500000,7.9,12138
"6th Day, The",2000,123,82000000,5.9,12064
Space Cowboys,2000,130,65000000,6.4,11887
Best in Show,2000,90,6000000,7.5,11790
Bring It On,2000,98,10000000,6.1,11784
Bedazzled,2000,93,48000000,5.9,11439
Keeping the Faith,2000,128,30000000,6.8,11351
"Family Man, The",2000,125,60000000,6.5,11220
Thirteen Days,2000,145,80000000,7.4,10926
Nurse Betty,2000,110,24000000,6.6,10441
Vertical Limit,2000,124,75000000,5.6,10273
Romeo Must Die,2000,115,25000000,5.8,10229
Men of Honor,2000,129,32000000,6.6,9684
Proof of Life,2000,135,65000000,6.3,9592
Little Nicky,2000,90,80000000,4.9,9485
Titan A.E.,2000,94,75000000,6.4,9373
Quills,2000,124,NA,7.3,9155
Red Planet,2000,106,75000000,5.3,8623
Boiler Room,2000,118,9000000,6.8,8586
"Lord of the Rings: The Fellowship of the Ring, The",2001,208,93000000,8.8,157608
Shrek,2001,90,60000000,8,65146
Donnie Darko,2001,133,4500000,8.3,51961
Moulin Rouge!,2001,127,52500000,7.7,47689
Harry Potter and the Sorcerer's Stone,2001,152,130000000,7.2,46741
Ocean's Eleven,2001,116,85000000,7.5,44662
"Beautiful Mind, A",2001,135,60000000,7.8,43291
"Monsters, Inc.",2001,92,115000000,8,38712
"Others, The",2001,104,17000000,7.8,36914
Artificial Intelligence: AI,2001,146,90000000,6.8,36623
Mulholland Dr.,2001,147,15000000,7.9,35504
Pearl Harbor,2001,184,135250000,5.4,33409
Black Hawk Down,2001,142,90000000,7.6,32530
Vanilla Sky,2001,136,68000000,6.9,31250
"Royal Tenenbaums, The",2001,111,21000000,7.6,31227
Hannibal,2001,133,87000000,6.2,28876
Planet of the Apes,2001,119,100000000,5.6,28601
Bridget Jones's Diary,2001,97,26000000,7,24791
Sen to Chihiro no kamikakushi,2001,125,NA,8.6,24253
Jay and Silent Bob Strike Back,2001,104,22000000,6.9,24211
"Mummy Returns, The",2001,130,98000000,6.1,23551
Training Day,2001,120,45000000,7.3,22776
American Pie 2,2001,105,30000000,6.3,22752
Lara Croft: Tomb Raider,2001,100,80000000,5.2,21861
"Fast and the Furious, The",2001,106,38000000,5.7,21428
Jurassic Park III,2001,92,93000000,5.6,20690
Swordfish,2001,99,80000000,6.2,20455
Enemy at the Gates,2001,131,70000000,7.3,19169
Blow,2001,124,30000000,7.1,18670
Zoolander,2001,89,28000000,6.1,18277
Legally Blonde,2001,96,18000000,6.4,17572
From Hell,2001,122,35000000,6.8,17292
K-PAX,2001,120,48000000,7.2,17235
"Man Who Wasn't There, The",2001,118,20000000,7.7,17028
Gosford Park,2001,137,15000000,7.3,16831
Spy Game,2001,126,92000000,7,16736
Rush Hour 2,2001,86,90000000,6.5,16581
Final Fantasy: The Spirits Within,2001,106,137000000,6.5,16451
"Score, The",2001,124,68000000,6.8,16106
Monster's Ball,2001,112,4000000,7.3,15037
"Knight's Tale, A",2001,132,41000000,6.5,15006
Evolution,2001,101,80000000,5.8,14232
"Mexican, The",2001,123,38000000,6,13935
Rat Race,2001,112,48000000,6.5,13913
Shallow Hal,2001,113,40000000,6.1,13217
"Pacte des loups, Le",2001,152,NA,7,12958
Bandits,2001,123,80000000,6.7,12382
Scary Movie 2,2001,83,45000000,4.2,12035
America's Sweethearts,2001,102,48000000,5.8,11849
Jeepers Creepers,2001,90,10000000,5.4,10973
15 Minutes,2001,120,42000000,6.1,10866
Behind Enemy Lines,2001,106,40000000,6.1,10856
Serendipity,2001,90,28000000,6.6,10795
Frailty,2001,100,11000000,7.4,10551
Not Another Teen Movie,2001,89,16000000,5.2,10295
In the Bedroom,2001,130,1700000,7.4,10177
Don't Say a Word,2001,113,50000000,6.2,10098
I Am Sam,2001,132,22000000,7.2,9945
"Pledge, The",2001,123,45000000,6.9,9852
Along Came a Spider,2001,104,28000000,6.1,9456
Ali,2001,165,107000000,6.4,9294
Freddy Got Fingered,2001,87,15000000,3.5,9115
"Majestic, The",2001,156,72000000,6.7,8649
"Lord of the Rings: The Two Towers, The",2002,223,94000000,8.8,114797
Star Wars: Episode II - Attack of the Clones,2002,120,120000000,7,63889
Spider-Man,2002,121,139000000,7.4,63228
Minority Report,2002,145,102000000,7.8,51199
Signs,2002,108,72000000,7.1,40285
Catch Me If You Can,2002,141,52000000,7.6,39915
Harry Potter and the Chamber of Secrets,2002,152,100000000,7.3,38394
Bowling for Columbine,2002,120,4000000,8.5,36747
Chicago,2002,113,45000000,7.5,34933
Gangs of New York,2002,166,97000000,7.3,34808
"Ring, The",2002,115,45000000,7.4,30687
Road to Perdition,2002,117,80000000,7.7,30526
"Pianist, The",2002,150,35000000,8.5,30467
"Bourne Identity, The",2002,119,75000000,7.3,29871
Cidade de Deus,2002,135,3300000,8.7,25964
Adaptation.,2002,114,19000000,7.9,25140
Panic Room,2002,113,48000000,7,24302
28 Days Later...,2002,113,8000000,7.3,24174
Ying xiong,2002,93,30000000,8.1,24128
About Schmidt,2002,125,30000000,7.3,23279
Austin Powers in Goldmember,2002,94,63000000,6.2,22870
Ice Age,2002,81,60000000,7.3,22302
Insomnia,2002,118,46000000,7.3,22235
Die Another Day,2002,133,142000000,6.4,22136
My Big Fat Greek Wedding,2002,95,5000000,6.9,21675
Men in Black II,2002,88,140000000,5.6,21580
Red Dragon,2002,124,90000000,7.3,21089
Phone Booth,2002,81,10000000,7.3,21075
Resident Evil,2002,100,35000000,6.2,18978
xXx,2002,132,85000000,5.5,18514
About a Boy,2002,101,27000000,7.5,18318
Punch-Drunk Love,2002,95,25000000,7.5,18169
8 Mile,2002,110,41000000,6.8,17900
Equilibrium,2002,107,20000000,7.6,17579
Blade II,2002,108,55000000,6.6,17139
One Hour Photo,2002,96,12000000,7.1,17130
"Hours, The",2002,114,25000000,7.6,16692
"Sum of All Fears, The",2002,123,68000000,6.6,15835
25th Hour,2002,135,15000000,7.8,15788
Two Weeks Notice,2002,101,60000000,5.8,15010
We Were Soldiers,2002,143,75000000,7.1,14939
Bend It Like Beckham,2002,115,NA,7.3,14437
"Count of Monte Cristo, The",2002,134,35000000,7.4,13907
Changing Lanes,2002,99,45000000,6.6,12779
Hable con ella,2002,112,NA,8.1,12609
"Time Machine, The",2002,96,80000000,5.5,12424
Maid in Manhattan,2002,105,55000000,4.6,12237
Solaris,2002,99,47000000,6.3,11808
Star Trek: Nemesis,2002,116,70000000,6.5,11785
Mr. Deeds,2002,96,50000000,5.5,11729
Confessions of a Dangerous Mind,2002,113,29000000,7.1,11487
Reign of Fire,2002,101,95000000,5.8,11452
"Mothman Prophecies, The",2002,119,42000000,6.5,11073
Lilo & Stitch,2002,86,80000000,7.3,10944
Whale Rider,2002,101,NA,8,10252
"Scorpion King, The",2002,92,60000000,5.3,10111
Sweet Home Alabama,2002,108,38000000,5.8,9943
Scooby-Doo,2002,86,84000000,4.8,9618
Secretary,2002,104,NA,7.2,9481
Far from Heaven,2002,107,13500000,7.7,9167
"Transporter, The",2002,92,NA,6,9150
Windtalkers,2002,153,115000000,5.9,9081
John Q,2002,116,36000000,6.4,8952
Jackass: The Movie,2002,87,5000000,6.1,8893
Unfaithful,2002,125,50000000,6.6,8713
Frida,2002,123,12000000,7.5,8614
40 Days and 40 Nights,2002,96,17000000,5.4,8609
Collateral Damage,2002,108,85000000,5.2,8590
"Rules of Attraction, The",2002,110,4000000,6.7,8552
Crossroads,2002,93,12000000,3.1,8546
"Lord of the Rings: The Return of the King, The",2003,251,94000000,9,103631
Kill Bill: Vol. 1,2003,111,55000000,8.3,65026
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,125000000,8,60812
"Matrix Reloaded, The",2003,138,127000000,7.1,57225
Lost in Translation,2003,102,4000000,8,42450
Finding Nemo,2003,100,94000000,8.3,41846
"Matrix Revolutions, The",2003,125,110000000,6.3,40058
X2,2003,133,110000000,7.9,38191
Terminator 3: Rise of the Machines,2003,109,175000000,6.9,32111
"Last Samurai, The",2003,154,100000000,7.9,31668
Big Fish,2003,125,70000000,8.1,31525
Mystic River,2003,137,30000000,8,28969
Bruce Almighty,2003,101,81000000,6.4,23905
Love Actually,2003,129,NA,7.7,21918
21 Grams,2003,124,20000000,8,21857
Master and Commander: The Far Side of the World,2003,138,150000000,7.5,21328
Hulk,2003,138,120000000,6.1,20710
Daredevil,2003,133,75000000,5.7,20642
Identity,2003,90,30000000,7.3,18747
"Italian Job, The",2003,111,60000000,6.9,18496
"School of Rock, The",2003,108,20000000,7.4,16452
Cold Mountain,2003,152,83000000,7.4,15712
"League of Extraordinary Gentlemen, The",2003,110,78000000,5.4,15647
Once Upon a Time in Mexico,2003,102,29000000,6,14732
Dogville,2003,135,NA,8,14307
Old School,2003,92,24000000,6.7,14283
Anger Management,2003,106,75000000,6,14280
Charlie's Angels: Full Throttle,2003,107,120000000,5,13990
Matchstick Men,2003,120,NA,7.4,13684
American Wedding,2003,103,55000000,6.3,13590
Bad Boys II,2003,145,130000000,6.1,13087
"Recruit, The",2003,115,NA,6.6,13054
S.W.A.T.,2003,117,80000000,5.9,12732
Monster,2003,109,8000000,7.4,12306
Intolerable Cruelty,2003,100,60000000,6.6,11967
Seabiscuit,2003,141,86000000,7.5,11552
Gigli,2003,121,54000000,2.3,11285
Something's Gotta Give,2003,128,NA,6.8,11275
Bad Santa,2003,98,18000000,7.2,11189
Freddy Vs. Jason,2003,97,25000000,6.1,11109
Runaway Jury,2003,127,60000000,7.1,10761
"Life of David Gale, The",2003,130,50000000,7.1,10580
Gothika,2003,98,40000000,5.8,10524
Dreamcatcher,2003,134,68000000,5.2,10403
Paycheck,2003,119,60000000,6.1,10383
Elf,2003,95,33000000,7,10165
"Texas Chainsaw Massacre, The",2003,98,9200000,5.9,9587
2 Fast 2 Furious,2003,107,76000000,5.1,9556
Good Bye Lenin!,2003,121,NA,7.8,9334
How to Lose a Guy in 10 Days,2003,116,50000000,6.1,9257
Scary Movie 3,2003,84,45000000,5.3,9225
Elephant,2003,81,3000000,7.3,9203
Lara Croft Tomb Raider: The Cradle of Life,2003,117,90000000,5.2,9103
Oldboy,2003,120,NA,8.4,8983
Open Range,2003,139,26000000,7.5,8799
Tears of the Sun,2003,121,70000000,6.2,8690
Thirteen,2003,100,1500000,7.1,8652
Eternal Sunshine of the Spotless Mind,2004,108,20000000,8.6,46240
Kill Bill: Vol. 2,2004,136,30000000,8.3,44189
Spider-Man 2,2004,127,200000000,7.9,40256
Fahrenheit 9/11,2004,122,6000000,7.9,34666
"Passion of the Christ, The",2004,127,30000000,7.4,34046
Troy,2004,162,185000000,7.1,33979
"Incredibles, The",2004,121,92000000,8.3,30749
Shrek 2,2004,92,75000000,7.8,27236
"Village, The",2004,108,60000000,6.6,25729
Harry Potter and the Prisoner of Azkaban,2004,141,130000000,7.8,24973
Collateral,2004,120,65000000,7.7,24499
Garden State,2004,109,2500000,8.1,23814
"Day After Tomorrow, The",2004,124,125000000,6.3,23749
"Butterfly Effect, The",2004,120,13000000,7.6,22975
"I, Robot",2004,115,105000000,7,22330
Million Dollar Baby,2004,132,30000000,8.3,20195
"Bourne Supremacy, The",2004,108,75000000,7.3,19878
Van Helsing,2004,132,160000000,5.4,19787
Shaun of the Dead,2004,99,4000000,7.9,18685
Finding Neverland,2004,106,NA,8.1,17715
Napoleon Dynamite,2004,86,400000,7.2,17524
Saw,2004,100,1200000,7.5,17191
Sideways,2004,123,16000000,8,17051
Dawn of the Dead,2004,109,28000000,7.4,16283
"Aviator, The",2004,170,116000000,7.5,16217
"Terminal, The",2004,128,60000000,7.1,15809
Hellboy,2004,132,66000000,6.7,15565
Ocean's Twelve,2004,125,110000000,6,14797
AVP: Alien Vs. Predator,2004,102,45000000,5.4,14651
Dodgeball: A True Underdog Story,2004,92,20000000,6.6,14584
Man on Fire,2004,146,70000000,7.4,14358
King Arthur,2004,140,90000000,6,14272
Starsky & Hutch,2004,101,60000000,6.3,13529
50 First Dates,2004,99,75000000,6.8,13497
Secret Window,2004,96,40000000,6.3,13260
Team America: World Police,2004,98,30000000,7.3,13104
Sky Captain and the World of Tomorrow,2004,106,40000000,6.5,12579
National Treasure,2004,131,100000000,6.6,12361
Meet the Fockers,2004,115,80000000,6.5,11950
Mean Girls,2004,97,17000000,7,11591
Anchorman: The Legend of Ron Burgundy,2004,104,26000000,6.5,11553
"Grudge, The",2004,92,10000000,5.9,11441
"Chronicles of Riddick, The",2004,135,110000000,6.2,11438
"Phantom of the Opera, The",2004,143,60000000,7.2,11283
Alexander,2004,175,150000000,5.5,11254
"Ladykillers, The",2004,104,35000000,6.4,10580
Resident Evil: Apocalypse,2004,94,50000000,5.6,10486
"Girl Next Door, The",2004,110,NA,6.8,10452
"Punisher, The",2004,124,33000000,6.2,9989
"Manchurian Candidate, The",2004,129,NA,6.7,9896
Along Came Polly,2004,90,42000000,5.8,9785
Super Size Me,2004,100,300000,7.7,9487
"Life Aquatic with Steve Zissou, The",2004,118,25000000,7.3,9170
"Notebook, The",2004,123,30000000,7.8,8830
Catwoman,2004,104,85000000,3.4,8815
Before Sunset,2004,80,10000000,8.3,8789
Shi mian mai fu,2004,118,NA,7.6,8700
Sin City,2005,124,45500000,8.3,23473
Constantine,2005,121,100000000,6.4,11633
